Station,Year,Season,L4_Chl-a,L4_Depth,L4_pH,L4_Sal,L4_DO,L4_COD,L4_DIP,L4_NO2-N,L4_NO3-N,L4_NH4-N,L4_DIN,L4_NO3/NO2,L4_NO3/NH4,L4_NO2/NH4,L4_Petro,L4_TN,L4_TP,L4_TN/TP,L4_Si,L4_SS,L4_COD_rate,L4_DIP_rate,L4_DIN_rate,L4_Petroleum_rate,L4_Max_rate,L4_N/P,L4_Si/N,L4_Si/P,L4_T,L4_Tr,L4_WindS,L4_WindD,L4_WaterC,L4_SeaC,L4_Weather
317985,2016,2,0.352,4.5,8.1,31.461,6.54,1.28,0.006,0.002,0.059,0.014,0.075,23.821,4.127,0.173,0.028,0.091,0.054,1.675,0.511,28.8,0.64,0.379,0.376,0.552,0.675,13.25,6.79,6.79,16.7,1,3,155,13,2,Cloudy
318015,2016,2,0.396,4.5,8.13,31.032,9.07,1,0.006,0.001,0.032,0.024,0.057,28.739,1.307,0.045,0.008,0.068,0.045,1.519,0.34,14.6,0.5,0.379,0.287,0.156,0.6,10.107,5.922,5.922,15.6,0.5,5.8,101,14,2,Cloudy
318037,2016,2,1.659,5,8.03,30.953,8.02,1.291,0.006,0.007,0.181,0.08,0.268,27.015,2.265,0.084,0.037,0.354,0.011,33.396,0.36,24.524,0.645,0.387,1.676,0.743,1.676,46.138,1.345,1.345,16.6,1,2.3,225,20,1,Cloudy
318063,2016,2,2.102,2.9,8,31.164,6.21,1.402,0.003,0.006,0.153,0.029,0.188,25.932,5.24,0.202,0.039,0.283,0.005,53.396,0.276,52.432,0.701,0.167,0.941,0.787,1.285,75.24,1.467,1.467,16.9,0.5,1.4,225,20,1,Cloudy
318077,2016,2,1.619,3.7,7.87,31.162,7.4,1.211,0.004,0.011,0.105,0.074,0.19,10,1.415,0.142,0.036,0.299,0.013,23,0.512,17.476,0.606,0.267,0.949,0.71,1.356,47.425,2.699,2.699,16.2,1.5,5.5,45,5,1,Sunny
318085,2016,2,1.404,1.9,7.96,31.139,6.7,1.45,0.003,0.013,0.256,0.022,0.291,19.104,11.689,0.612,0.036,0.405,0.007,56.25,0.541,15.933,0.725,0.193,1.913,0.72,1.913,100.448,1.857,1.857,17.4,0.5,4.2,135,20,1,Cloudy
318091,2016,2,2.996,11.3,7.975,31.257,7.955,1.311,0.003,0.007,0.15,0.03,0.187,21.898,4.942,0.226,0.026,0.306,0.007,42.727,0.296,23.023,0.655,0.217,0.936,0.521,1.494,57.6,1.581,1.581,13.75,1.5,4.2,225,6,3,Cloudy
318105,2016,2,2.589,1,8.04,30.717,6.6,1.474,0.004,0.009,0.345,0.037,0.391,36.702,9.452,0.258,0.039,0.62,0.008,80.519,0.624,41.395,0.737,0.24,2.909,0.775,2.909,108.583,1.596,1.596,17.5,0.4,4.3,135,20,1,Cloudy
318119,2016,2,1.796,1.5,7.86,31.132,6.89,1.123,0.005,0.015,0.176,0.04,0.232,11.503,4.378,0.381,0.036,0.376,0.01,37.228,0.584,25.977,0.562,0.313,1.315,0.714,1.315,49.255,2.523,2.523,16.9,0.8,4,135,6,1,Sunny
318137,2016,2,1.958,5,7.88,31.137,7.57,1.203,0.026,0.012,0.322,0.012,0.346,26.612,26.833,1.008,0.033,0.523,0.009,58.111,0.343,27.167,0.602,1.362,2.461,0.669,2.461,13.16,0.991,0.991,15.9,1,4,135,6,1,Sunny
318151,2016,2,2.373,14,7.97,31.24,7.65,1.112,0.005,0.012,0.328,0.053,0.393,26.844,6.139,0.229,0.024,0.575,0.01,58.325,0.367,24.457,0.556,0.347,2.931,0.484,2.931,75.587,0.934,0.934,14,1.5,3.1,225,6,2,Cloudy
318175,2016,2,1.443,6,7.97,31.261,7.36,1.203,0.005,0.006,0.308,0.076,0.39,54.035,4.063,0.075,0.033,0.517,0.01,49.712,0.522,20.345,0.602,0.327,2.895,0.664,2.895,79.49,1.34,1.34,16.2,1.5,1.4,180,6,1,Sunny
318211,2016,2,1.736,15,7.965,31.137,8.895,1.147,0.004,0.006,0.182,0.032,0.22,31.379,5.741,0.183,0.025,0.301,0.01,29.752,0.432,22.739,0.574,0.28,1.195,0.491,1.195,52.262,1.968,1.968,13.65,1.5,1.5,225,7,1,Cloudy
318217,2016,2,1.337,9.5,8.035,31.198,7.415,1.147,0.005,0.009,0.145,0.056,0.21,16.571,2.599,0.157,0.025,0.333,0.008,41.824,0.396,17.723,0.574,0.303,1.096,0.506,1.096,46.055,1.89,1.89,15.2,1.2,2.5,180,5,1,Rainy
318243,2016,2,2.161,5.5,7.94,31.266,8.1,1.155,0.002,0.053,0.164,0.032,0.249,3.094,5.19,1.677,0.035,0.413,0.007,60.735,0.665,27.22,0.578,0.153,1.486,0.693,1.486,108.087,2.675,2.675,15,1.4,3.2,135,6,2,Sunny
318251,2016,2,2.372,14.3,8.03,31.186,7.465,1.191,0.003,0.007,0.169,0.049,0.224,23.901,3.464,0.145,0.025,0.311,0.006,52.269,0.303,15.786,0.596,0.193,1.242,0.507,1.242,77.31,1.349,1.349,14.85,2,1.1,180,5,1,Cloudy
318257,2016,2,1.256,11.2,8.025,30.902,7.86,1.167,0.005,0.009,0.263,0.03,0.302,29.006,8.678,0.299,0.026,0.378,0.01,36.124,0.5,30.217,0.584,0.343,2.018,0.518,2.018,58.602,1.657,1.657,14.65,1.3,2.8,180,6,1,Sunny
318299,2016,2,1.495,10,8.035,31.24,7.925,1.323,0.004,0.006,0.247,0.03,0.282,41.429,8.3,0.2,0.027,0.386,0.006,59.767,0.469,33.864,0.661,0.233,1.822,0.544,1.822,80.614,1.66,1.66,14.5,1.8,1.5,180,7,1,Rainy
318311,2016,2,2.035,14.7,8.03,31.207,7.7,1.331,0.003,0.01,0.132,0.074,0.216,12.767,1.778,0.139,0.024,0.362,0.039,9.246,0.268,27.537,0.665,0.23,1.158,0.489,1.379,62.536,1.242,1.242,14.4,2,2.1,180,5,1,Rainy
318343,2016,2,1.74,7.5,7.955,31.256,7.92,1.199,0.004,0.009,0.146,0.043,0.197,16.629,3.368,0.203,0.035,0.366,0.01,37.157,0.583,26.114,0.6,0.297,0.987,0.703,1.383,44.371,2.953,2.953,15.9,1,6.5,90,15,3,Sunny
318385,2016,2,2.22,6.9,7.99,31.293,8.02,1.315,0.006,0.009,0.246,0.041,0.296,27.64,5.971,0.216,0.035,0.515,0.014,37.591,0.61,23.244,0.657,0.407,1.961,0.691,1.961,48.541,2.06,2.06,16.6,1,5.5,113,15,3,Sunny
318391,2016,2,2.837,16.7,8.01,31.164,9.355,1.406,0.005,0.008,0.284,0.092,0.384,33.609,3.094,0.092,0.026,0.556,0.011,51.916,0.52,26.744,0.703,0.327,2.843,0.513,2.843,78.418,1.353,1.353,13.35,3,1,180,5,1,Rainy
318403,2016,2,2.589,8.5,8.005,31.23,9.01,1.347,0.004,0.009,0.138,0.071,0.217,15.954,1.952,0.122,0.036,0.355,0.007,52.206,0.402,21.698,0.673,0.263,1.174,0.72,1.174,55.025,1.85,1.85,14.95,2,4.5,135,12,3,Sunny
318483,2016,2,0.512,8,8.1,31.279,9.26,1.01,0.007,0.001,0.043,0.013,0.057,51.254,3.3,0.064,0.015,0.071,0.037,1.919,0.564,11.4,0.505,0.469,0.284,0.29,0.709,8.071,9.941,9.941,16.8,0.5,3.7,178,13,2,Cloudy
318517,2016,2,0.57,9.5,8.14,31.259,9.6,0.84,0.006,0.001,0.084,0.017,0.101,148.325,5.006,0.034,0.011,0.123,0.023,5.256,0.234,12.2,0.42,0.379,0.507,0.214,0.684,17.864,2.306,2.306,16.7,0.7,4.1,154,12,2,Cloudy
318563,2016,2,0.311,8.6,8.2,31.217,8.63,1.62,0.003,0.001,0.023,0.014,0.037,40.123,1.673,0.042,0.016,0.045,0.031,1.431,0.637,26.75,0.81,0.199,0.185,0.32,0.87,12.388,17.255,17.255,14.9,0.8,4.1,181,15,2,Cloudy
318781,2016,2,1.459,21.7,7.98,31.288,8.325,1.219,0.004,0.012,0.252,0.036,0.3,20.826,7.029,0.338,0.025,0.474,0.008,56.707,0.281,17.683,0.61,0.25,2,0.507,2,79.987,0.937,0.937,13.15,6,1.1,225,5,1,Cloudy
318825,2016,2,1.898,19,7.98,31.249,7.865,1.203,0.002,0.009,0.179,0.022,0.21,18.989,8.132,0.428,0.026,0.321,0.005,67.579,0.409,19.478,0.602,0.153,1.099,0.528,1.534,91.239,1.949,1.949,13.1,5,1.2,225,6,1,Cloudy
318879,2016,2,1.499,24,7.985,31.254,8.575,1.219,0.003,0.008,0.166,0.063,0.237,20.881,2.633,0.126,0.025,0.388,0.036,10.853,0.369,22.308,0.61,0.22,1.37,0.498,1.37,71.818,1.555,1.555,13.05,6,0.8,225,5,1,Cloudy
319429,2016,2,0.352,9.5,8.14,31.354,9.04,1.19,0.004,0.002,0.03,0.033,0.066,13.79,0.907,0.066,0.023,0.27,0.034,7.918,0.525,23.3,0.595,0.289,0.328,0.468,1.29,15.171,7.992,7.992,16.8,0.6,4.7,181,12,2,Cloudy
319495,2016,2,0.642,2,8.18,31.247,9.87,1.47,0.012,0.005,0.171,0.075,0.251,33.204,2.274,0.068,0.028,0.332,0.05,6.707,0.591,5,0.735,0.827,1.514,0.556,1.514,20.27,2.351,2.351,16.6,0.5,1.2,142,14,2,Cloudy
319537,2016,2,0.617,1.7,8.1,31.313,9.18,1.6,0.014,0.007,0.182,0.066,0.254,26.883,2.779,0.103,0.004,0.348,0.059,5.928,0.643,7.8,0.8,0.92,1.543,0.071,1.543,18.425,2.529,2.529,16.6,0.5,4.1,38,13,2,Cloudy
319549,2016,2,0.922,9,8.08,30.911,8.76,1.49,0.011,0.004,0.154,0.077,0.234,43.503,2.013,0.046,0.031,0.32,0.056,5.745,0.432,7.6,0.745,0.74,1.34,0.61,1.34,21.085,1.846,1.846,16.6,0.5,4.3,27,13,2,Cloudy
319553,2016,2,1.62,6.5,8.14,31.605,9.56,1.01,0.007,0.005,0.169,0.063,0.237,32.816,2.674,0.081,0.016,0.274,0.05,5.535,0.392,27.4,0.505,0.469,1.374,0.312,1.374,33.762,1.652,1.652,16.7,0.3,4.3,54,14,2,Cloudy
319599,2016,2,0.396,3,8.05,31.707,9.56,1.01,0.01,0.005,0.101,0.056,0.162,19.612,1.8,0.092,0.032,0.21,0.057,3.671,0.392,33.2,0.505,0.649,0.811,0.64,0.811,16.658,2.416,2.416,16.6,0.5,5,24,12,2,Cloudy
319609,2016,2,0.947,9,7.91,31.306,9.57,1.03,0.014,0.007,0.122,0.093,0.222,17.33,1.319,0.076,0.01,0.278,0.062,4.498,0.287,26.6,0.515,0.92,1.215,0.206,1.215,16.054,1.295,1.295,16.7,0.3,3.8,155,15,2,Cloudy
319615,2016,2,1.89,2.4,8.25,32.434,9.2,1.1,0.012,0.012,0.122,0.154,0.288,10.609,0.792,0.075,0,0.908,0.037,24.541,0.283,5.8,0.55,0.8,1.875,0,1.875,23.958,0.984,0.984,14.9,1.5,1.5,104,9,1,Cloudy
319645,2016,2,0.414,1.7,7.96,31.947,8.01,1.68,0.021,0.012,0.133,0.135,0.28,11.176,0.985,0.088,0.031,0.32,0.07,4.604,0.26,14,0.84,1.172,1.799,0.626,1.799,13.587,0.929,0.929,16.6,0.5,3.9,39,14,2,Cloudy
319655,2016,2,1.67,1.6,8.24,32.219,9.15,1.16,0.015,0.01,0.147,0.121,0.278,14.412,1.215,0.084,0,0.855,0.035,24.569,0.308,7,0.58,0.995,1.782,0,1.782,18.183,1.107,1.107,15,0.4,1.3,101,12,1,Cloudy
319667,2016,2,0.625,9.5,8.03,30.905,10.5,0.982,0.007,0.007,0.148,0.016,0.171,21.861,9.308,0.426,0.024,0.222,0.054,4.104,0.577,27.3,0.491,0.469,0.853,0.476,1.04,24.277,3.381,3.381,16.7,0.8,5,55,14,2,Cloudy
319717,2016,2,1.97,1.1,8.21,32.682,9.02,1.02,0.017,0.015,0.122,0.128,0.265,8.026,0.953,0.119,0,0.861,0.038,22.96,0.428,6.2,0.51,1.042,1.652,0,1.652,15.88,1.614,1.614,15.3,0.8,1.1,92,10,1,Cloudy
319909,2016,2,4.205,17,8.17,31.21,9.61,0.806,0.008,0.007,0.135,0.071,0.212,20.55,1.889,0.092,0.02,0.745,0.039,19.163,0.182,28.85,0.403,0.537,1.122,0.39,1.122,26.333,0.855,0.855,12,1.3,3.1,269,8,2,Sunny
319971,2016,2,4.21,13,8.18,31.2,9.415,0.748,0.012,0.006,0.138,0.069,0.213,21.203,1.999,0.094,0.042,0.679,0.03,22.862,0.296,56.55,0.374,0.78,1.128,0.834,1.128,18.187,1.391,1.391,11.02,0.5,3.1,285,8,2,Cloudy
319975,2016,2,3.53,7,8.13,31.23,9.26,0.877,0.013,0.007,0.135,0.067,0.208,20.179,2.027,0.1,0.043,0.829,0.024,34.832,0.202,35.4,0.439,0.887,1.083,0.858,1.087,15.661,0.97,0.97,11.63,1,2.5,270,7,2,Sunny
319977,2016,2,7.03,6.5,8.11,31.23,10,0.695,0.018,0.012,0.177,0.114,0.303,15,1.553,0.104,0.016,0.819,0.034,24.159,0.213,17.4,0.348,1.085,2.028,0.31,2.028,16.822,0.703,0.703,13.91,1.5,2.3,260,7,2,Cloudy
320009,2016,2,3.295,15,8.135,31.214,9.355,0.798,0.013,0.007,0.145,0.06,0.211,21.894,2.396,0.109,0.041,0.711,0.033,21.256,0.313,75,0.399,0.89,1.114,0.812,1.114,15.835,1.478,1.478,10.93,1,3,280,8,2,Cloudy
320037,2016,2,0.258,9.5,8.15,31.192,8.72,0.919,0.004,0.001,0.107,0.029,0.136,188.713,3.754,0.02,0.008,0.187,0.033,5.736,0.445,7.2,0.46,0.289,0.68,0.169,1.108,31.424,3.27,3.27,16.9,0.8,3.4,93,10,2,Cloudy
320043,2016,2,0.68,9.5,8.1,31.562,9.64,1.14,0.004,0.001,0.138,0.063,0.202,110.442,2.176,0.02,0.01,0.273,0.026,10.664,0.564,8.65,0.57,0.244,1.019,0.204,1.04,55.252,2.793,2.793,7.5,1,4.9,162,6,2,Cloudy
320143,2016,2,0.525,9,8.11,31.236,9.87,1.38,0.006,0.001,0.068,0.084,0.153,54.739,0.81,0.015,0.02,0.18,0.04,4.467,0.366,16.7,0.69,0.379,0.767,0.39,0.783,27.024,2.384,2.384,16.8,0.7,5,77,11,2,Cloudy
320157,2016,2,0.231,14,8.155,30.8,8.58,1.14,0.004,0.006,0.133,0.013,0.151,22.747,10.192,0.448,0.019,0.19,0.036,5.316,0.36,10.95,0.57,0.289,0.757,0.378,0.981,34.948,2.376,2.376,16.35,1,4.5,107,9,2,Cloudy
320223,2016,2,0.252,9.5,8.05,31.214,9.39,0.934,0.007,0.006,0.148,0.022,0.176,24.832,6.697,0.27,0.02,0.236,0.053,4.487,0.392,18.5,0.467,0.469,0.88,0.408,0.88,25.044,2.227,2.227,16.6,0.5,3.9,42,13,2,Cloudy
320277,2016,2,0.156,17.5,8.05,31.011,8.295,0.848,0.004,0.004,0.119,0.016,0.139,28.3,7.508,0.265,0.008,0.181,0.04,4.576,0.677,14.8,0.424,0.289,0.695,0.164,1.07,32.114,4.865,4.865,16,1,3.7,94,9,2,Cloudy
320337,2016,2,0.36,9.5,8.07,30.478,8.78,0.855,0.004,0.005,0.149,0.029,0.182,32.321,5.192,0.161,0.011,0.248,0.042,5.933,0.525,9.1,0.428,0.289,0.912,0.22,1.053,42.104,2.88,2.88,16.7,0.7,4,56,12,2,Cloudy
320343,2016,2,0.483,12,8.12,30.584,8.78,0.911,0.006,0.002,0.14,0.023,0.164,67.883,6.132,0.09,0.016,0.191,0.053,3.622,0.611,9.25,0.455,0.424,0.822,0.318,0.947,25.854,3.716,3.716,16.25,0.3,4.1,48,14,2,Cloudy
320403,2016,2,4.045,18.5,8.225,31.29,8.555,0.873,0.007,0.007,0.154,0.07,0.231,22.27,2.194,0.099,0.021,0.657,0.034,19.168,0.349,82.85,0.437,0.468,1.311,0.418,1.311,32.899,1.508,1.508,11.69,1.3,2.2,258,8,2,Cloudy
320457,2016,2,5.34,18.5,8.21,31.288,8.495,0.745,0.007,0.006,0.097,0.058,0.162,15.673,1.665,0.106,0.023,0.787,0.031,25.088,0.227,38.25,0.373,0.448,0.809,0.466,1.093,24.068,1.402,1.402,11.61,1,2,265,8,2,Cloudy
320463,2016,2,3.615,18,8.18,31.303,8.98,0.899,0.009,0.007,0.15,0.07,0.227,20.833,2.157,0.104,0.029,0.613,0.033,18.804,0.293,67.85,0.449,0.585,1.268,0.57,1.268,25.826,1.292,1.292,11.97,1.2,2.3,262,8,2,Sunny
320523,2016,2,3.265,19,8.115,31.267,8.95,0.76,0.009,0.006,0.143,0.069,0.218,23.171,2.067,0.089,0.02,0.652,0.029,22.582,0.243,62.7,0.38,0.633,1.176,0.408,1.176,22.929,1.114,1.114,11.83,0.8,3,255,8,2,Sunny
320583,2016,2,3.637,24,8.15,31.258,8.99,0.814,0.005,0.006,0.133,0.067,0.205,23.398,1.987,0.085,0.034,0.661,0.032,20.885,0.221,48.467,0.407,0.354,1.051,0.686,1.153,38.602,1.079,1.079,12.08,1.2,2.8,270,8,2,Cloudy
321475,2016,2,3.53,9,8.11,31.21,10.3,0.782,0.009,0.007,0.142,0.102,0.251,20.55,1.392,0.068,0.037,0.682,0.03,22.963,0.187,191,0.391,0.595,1.509,0.736,1.509,28.129,0.745,0.745,13.1,0.5,2.7,245,8,2,Cloudy
321489,2016,2,4.193,32,8.157,31.235,9.02,0.714,0.011,0.006,0.146,0.077,0.229,25.245,1.902,0.075,0.034,0.56,0.031,18.036,0.247,181.667,0.357,0.746,1.286,0.672,1.286,20.437,1.082,1.082,10.39,1,3.5,252,8,2,Cloudy
321501,2016,2,3.42,9,8.1,31.205,10.5,0.752,0.008,0.007,0.144,0.095,0.246,20.339,1.519,0.075,0.039,0.733,0.036,20.137,0.166,147,0.376,0.517,1.459,0.774,1.459,31.726,0.675,0.675,13.14,0.5,2.8,240,8,2,Cloudy
321555,2016,2,4.453,35,8.173,31.173,9.167,0.816,0.01,0.006,0.135,0.067,0.208,24.37,2.011,0.083,0.03,0.616,0.036,17.207,0.178,74.467,0.408,0.66,1.082,0.592,1.082,21.015,0.855,0.855,10.71,0.5,3.2,260,8,2,Cloudy
321561,2016,2,3.34,19,8.115,31.215,9.865,0.895,0.008,0.006,0.134,0.07,0.21,21.878,1.912,0.087,0.031,0.61,0.027,22.785,0.189,58.55,0.447,0.546,1.102,0.624,1.102,25.668,0.899,0.899,11,1,3,265,8,2,Sunny
164589,2016,3,1.028,15,8.16,31.111,8.125,0.982,0.002,0.001,0.039,0.032,0.072,26.826,1.242,0.046,0.015,0.356,0.016,21.975,0.907,9.75,0.491,0.134,0.362,0.296,0.924,36.117,12.518,12.518,24.95,3.5,1.8,145,7,1,Sunny
165431,2016,3,1.03,8,8.06,31.037,7.98,1,0.005,0.007,0.041,0.058,0.105,6.105,0.698,0.114,0.036,0.309,0.017,17.965,0.828,5.2,0.5,0.346,0.527,0.716,0.824,20.318,7.852,7.852,24.7,3,6.5,300,7,2,Sunny
165489,2016,3,1.87,7.5,8.06,30.73,7.94,0.993,0.006,0.008,0.069,0.102,0.178,8.584,0.672,0.078,0.026,0.317,0.027,11.741,0.852,10,0.497,0.429,0.892,0.518,0.914,27.719,4.774,4.774,24.46,3,6.8,310,7,2,Sunny
165493,2016,3,1.412,16.5,8.15,31.114,7.95,0.989,0.009,0.004,0.04,0.055,0.098,10.777,0.717,0.067,0,0.345,0.023,14.935,0.423,13.4,0.494,0.629,0.492,0,1.071,10.421,4.295,4.295,24.19,2.5,6.5,310,7,2,Sunny
165603,2016,3,0.74,0.5,7.95,31.01,8.15,1.71,0.026,0.018,0.135,0.042,0.195,7.67,3.191,0.416,0.038,0.286,0.079,3.629,0.431,15.9,0.855,1.345,0.975,0.762,1.345,7.554,2.211,2.211,26.8,0.3,1.5,280,15,2,Sunny
165605,2016,3,0.604,0.5,8,31.012,9.55,1.76,0.025,0.019,0.129,0.04,0.188,6.935,3.233,0.466,0.036,0.262,0.071,3.669,0.536,35.6,0.88,1.302,0.938,0.728,1.302,7.653,2.859,2.859,26.8,0.3,1,291,14,2,Sunny
165609,2016,3,1.053,14.5,8.19,30.977,7.83,0.953,0.007,0.003,0.038,0.053,0.094,14.942,0.729,0.049,0.039,0.46,0.023,20.175,0.177,13.4,0.477,0.441,0.468,0.778,1.13,14.171,1.884,1.884,24.3,3.5,7.2,310,7,2,Sunny
165729,2016,3,1.53,20,8.045,30.95,7.975,0.945,0.005,0.002,0.039,0.052,0.094,16.589,0.754,0.045,0.031,0.452,0.036,12.7,0.346,16.6,0.473,0.345,0.47,0.612,1.065,18.187,3.675,3.675,24.91,3.5,7.5,300,7,2,Sunny
165791,2016,3,1.42,19.5,8.175,30.829,7.93,0.961,0.012,0.003,0.042,0.057,0.102,12.353,0.74,0.06,0.033,0.446,0.019,24.081,0.479,8,0.481,0.83,0.511,0.666,1.031,8.205,4.684,4.684,25.17,3.5,7.8,320,7,2,Sunny
165855,2016,3,1.59,9.5,8.06,30.484,8.06,0.928,0.007,0,0.044,0.062,0.107,134.242,0.711,0.005,0.036,0.706,0.02,35.838,0.169,6.5,0.464,0.452,0.535,0.72,1.059,15.771,1.58,1.58,25.1,3.5,1.5,170,7,1,Sunny
165971,2016,3,1.242,21,8.14,30.99,7.79,0.908,0.006,0,0.043,0.044,0.086,144.068,0.975,0.007,0.022,0.388,0.018,21.144,0.176,9,0.454,0.408,0.432,0.442,0.826,14.128,2.034,2.034,23.87,3.5,1.5,175,7,1,Sunny
166093,2016,3,1.097,19.5,8.15,31.129,7.885,0.928,0.005,0.001,0.04,0.062,0.102,47.219,0.647,0.014,0.017,0.498,0.022,22.562,0.174,13,0.464,0.359,0.512,0.346,0.662,18.997,1.694,1.694,24.05,4,1,170,7,1,Sunny
166097,2016,3,2.31,12,8.23,30.917,7.84,0.916,0.012,0.005,0.062,0.108,0.175,12.692,0.574,0.045,0.024,0.409,0.016,26.302,0.442,16.25,0.458,0.823,0.874,0.474,0.874,14.157,2.528,2.528,23.62,3.5,1.8,170,7,1,Sunny
166217,2016,3,0.842,15,8.205,30.947,7.89,1.02,0.012,0.005,0.064,0.042,0.111,11.644,1.512,0.13,0.031,0.294,0.02,14.886,0.454,13.5,0.51,0.797,0.557,0.624,0.797,9.32,4.072,4.072,23.55,3.5,1.8,160,7,1,Sunny
166273,2016,3,1.06,20,8.065,30.931,7.715,0.912,0.007,0.002,0.046,0.049,0.097,19.466,0.931,0.048,0.02,0.675,0.018,38.433,0.181,6.75,0.456,0.496,0.484,0.408,0.624,13.025,1.864,1.864,24.23,4,1.5,172,7,1,Sunny
166397,2016,3,1.4,19,8.155,30.888,7.89,0.988,0.009,0.002,0.05,0.065,0.117,27.839,0.778,0.028,0.028,0.757,0.017,45.194,0.235,12.25,0.494,0.59,0.583,0.552,0.658,13.176,2.015,2.015,24.12,3.5,2,165,7,1,Sunny
166453,2016,3,1.57,19,8.205,31.019,7.89,0.904,0.009,0.002,0.047,0.062,0.111,19.261,0.757,0.039,0.017,0.791,0.02,38.775,0.32,12.25,0.452,0.62,0.556,0.34,0.642,11.973,2.875,2.875,24.03,4,1.7,175,7,1,Sunny
166555,2016,3,0.711,1.8,8.22,31.048,5.98,0.673,0,0.002,0.097,0.003,0.102,43.801,30.633,0.699,0.007,0.356,0.004,83.372,0.043,2.6,0.337,0,0.511,0.136,1.321,,0.425,0.425,26.5,1.5,2.2,342,8,1,Cloudy
166561,2016,3,4.38,5,8.21,30.936,5.94,0.986,0.003,0.002,0.201,0.004,0.207,100.5,48.551,0.483,0.015,0.368,0.004,99.459,0.042,4,0.493,0.209,1.071,0.304,1.071,65.968,0.203,0.203,27.4,1.6,2.3,357,8,1,Cloudy
166613,2016,3,0.868,2.2,8.26,32.336,6.22,0.705,0.005,0.003,0.135,0.066,0.205,39.706,2.033,0.051,0.006,0.36,0.008,47.182,0.144,1.9,0.353,0.363,1.048,0.12,1.048,37.578,0.703,0.703,23.6,1.2,2,186,8,1,Cloudy
166619,2016,3,3.86,4.6,8.18,30.804,6.04,1.02,0,0.002,0.045,0.003,0.05,25.281,15.957,0.631,0.016,0.356,0.003,113.376,0,2.3,0.51,0,0.248,0.328,1.723,,0,0,27.1,1.5,2.7,36,8,1,Cloudy
295153,2016,3,0.891,21,8.145,31.074,7.47,0.9,0.005,0.002,0.045,0.058,0.104,28.386,0.773,0.027,0.031,0.552,0.017,33.424,0.496,5.25,0.45,0.325,0.522,0.614,0.896,21.454,4.743,4.743,25.15,3.5,2,140,7,1,Sunny
295167,2016,3,0.967,12,8.145,31.044,8.09,0.816,0.002,0.001,0.04,0.02,0.061,48.263,1.99,0.041,0.027,0.301,0.016,18.781,0.704,10,0.408,0.111,0.307,0.546,0.888,36.979,11.46,11.46,25.05,3.5,1.7,145,7,1,Sunny
295191,2016,3,1.22,18.5,8.145,30.993,7.9,0.888,0.005,0.001,0.039,0.034,0.074,28.967,1.172,0.04,0.026,0.753,0.021,36.005,0.551,7,0.444,0.359,0.371,0.524,0.884,13.749,7.435,7.435,25.05,3.5,1.8,150,7,1,Sunny
295197,2016,3,0.95,24,8.19,30.808,7.725,0.991,0.003,0.001,0.045,0.034,0.08,37.932,1.342,0.035,0.028,0.336,0.015,23.093,0.42,7.5,0.496,0.19,0.398,0.554,0.702,27.991,5.274,5.274,24.95,3.5,1.7,150,7,1,Sunny
295207,2016,3,1.715,10,8.14,30.983,7.95,0.972,0.006,0.001,0.042,0.03,0.073,28.237,1.381,0.049,0.036,0.635,0.02,32.152,0.515,13.75,0.486,0.381,0.366,0.712,1.13,12.81,7.021,7.021,24.8,3,1.7,140,7,1,Sunny
296151,2016,3,0.773,24,8.12,30.684,8.33,0.848,0.006,0,0.043,0.069,0.113,346.8,0.625,0.002,0.03,0.698,0.014,51.704,0.172,13,0.424,0.375,0.564,0.598,0.598,20.085,1.524,1.524,25.75,3.5,1,170,7,1,Sunny
296271,2016,3,1.14,24,8.115,30.616,8.205,0.904,0.006,0,0.045,0.076,0.121,391.304,0.59,0.002,0.026,0.532,0.017,31.856,0.147,14.75,0.452,0.405,0.607,0.514,0.607,19.986,1.207,1.207,25.3,3.5,1.5,165,7,1,Sunny
296629,2016,3,0.9,20.5,8.13,30.989,8.005,0.888,0.003,0.002,0.034,0.04,0.076,14.374,0.851,0.059,0.026,0.797,0.023,34.481,0.617,8.5,0.444,0.219,0.38,0.516,1.101,23.172,8.111,8.111,24.85,3.5,1.5,140,7,1,Sunny
296631,2016,3,0.502,19,8.15,31.008,7.91,0.868,0.004,0.004,0.031,0.032,0.067,8.365,0.973,0.116,0.032,0.681,0.018,38.017,0.612,11,0.434,0.233,0.335,0.632,1.04,19.137,9.137,9.137,24.8,3,2,145,7,1,Sunny
296633,2016,3,1.12,20,8.07,30.921,8,0.804,0.004,0.001,0.033,0.033,0.068,24.343,1.014,0.042,0.038,0.79,0.024,33.524,0.447,8,0.402,0.258,0.338,0.758,0.964,17.45,6.61,6.61,24.9,3.5,1.7,145,7,1,Sunny
296641,2016,3,0.517,28.5,8.16,31.005,7.77,0.896,0.004,0.002,0.05,0.035,0.087,23.287,1.439,0.062,0.029,0.306,0.02,15.612,0.551,10,0.448,0.267,0.434,0.588,0.588,21.672,6.348,6.348,24.8,3.5,1.7,145,7,1,Sunny
296651,2016,3,1,25,8.1,30.905,7.88,1.001,0.003,0.001,0.059,0.037,0.098,43.223,1.586,0.037,0.027,0.626,0.018,34.208,0.531,8.25,0.501,0.227,0.488,0.54,1.036,28.696,5.437,5.437,24.85,3.5,1.5,145,7,1,Sunny
